Book_name,Author,Genera,Prices,Published_Year,Pages,Available
Gilead,Marilynne Robinson,Fiction,303,2004,247,1
Spider's Web,Charles Osborne;Agatha Christie,Detective and mystery stories,336,2000,241,1
The One Tree,Stephen R. Donaldson,American fiction,335,1982,479,1
Rage of angels,Sidney Sheldon,Fiction,272,1993,512,1
The Four Loves,Clive Staples Lewis,Christian life,315,2002,170,1
The Problem of Pain,Clive Staples Lewis,Adventure stories,284,2002,176,1
An Autobiography,Agatha Christie,"Authors, English",382,1977,560,1
Empires of the Monsoon,Richard Hall,"Africa, East",351,1998,608,1
The Gap Into Madness,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)",1996,1994,743,1
Master of the Game,Sidney Sheldon,Adventure stories,1997,1982,489,1
If Tomorrow Comes,Sidney Sheldon,Adventure stories,1997,1994,501,1
Assassin's Apprentice,Robin Hobb,American fiction,2003,1996,460,1
Warhost of Vastmark,Janny Wurts,Fiction,1998,1995,522,1
The Once and Future King,Terence Hanbury White,Arthurian romances,2004,1996,823,1
Murder in LaMut,Raymond E. Feist;Joel Rosenberg,Adventure stories,2002,2003,337,1
Jimmy the Hand,Raymond E. Feist;S. M. Stirling,Fantasy fiction,2000,2003,368,1
Well of Darkness,Margaret Weis;Tracy Hickman,Love,1993,2001,599,1
Witness for the Prosecution & Selected Plays,Agatha Christie,English drama,176,1995,352,1
The Little House,Philippa Gregory,Country life,560,1998,368,1
Mystical Paths,Susan Howatch,English fiction,608,1996,576,1
Glittering Images,Susan Howatch,English fiction,743,1996,512,1
Glamorous Powers,Susan Howatch,Clergy,489,1996,512,1
The Mad Ship,Robin Hobb,Fantasy fiction,501,2000,906,1
Post Captain,Patrick O'Brian,"Aubrey, Jack (Fictitious character)",460,1996,474,1
The Reverse of the Medal,Patrick O'Brian,Adventure stories,522,1997,261,1
Miss Marple,Agatha Christie,"Detective and mystery stories, English",823,1997,359,1
The Years of Rice and Salt,Kim Stanley Robinson,Black Death,337,2003,772,1
Spares,Michael Marshall Smith,Human cloning,368,1998,317,1
Gravity,Tess Gerritsen,Science fiction,599,2004,342,1
The Wise Woman,Philippa Gregory,Great Britain,352,2002,640,1
Girls' Night in,Jessica Adams;Chris Manby;Fiona Walker,American fiction,368,2000,586,1
The White Album,Joan Didion,American essays,576,1993,224,1
The Bonesetter's Daughter,Amy Tan,China,512,2001,352,1
The Lexus and the Olive Tree,Thomas L. Friedman,Capitalism,512,2000,352,1
Tis,Frank McCourt,Ireland,906,2000,495,1
Ocean Star Express,Mark Haddon;Peter Sutton,Juvenile Fiction,474,2002,32,1
A Small Pinch of Weather,Joan Aiken,"Children's stories, English",261,2000,239,1
The Princess of the Chalet School,Elinor Mary Brent-Dyer,Juvenile Fiction,359,2000,159,1
Koko,Peter Straub,Male friendship,1000,2001,634,1
